"TABLE_NAME","COLUMN_NAME"
BILLPAYMENTTEMP,ID
BIN$1NNsr1KaTM211a9seLFsZg==$0,ID
BIN$36BVu+zWQe2jQtOvKJJMQw==$0,ID
BIN$4Np+gBP6RUWZj3uDXzhRfA==$0,ID
BIN$4dWr07bfRbW+hzlzMxg35w==$0,ID
BIN$5bk7IXWfT3Oc5ogB7abxcg==$0,ID
BIN$7FRRHu9pTSCg7hqOfheQIQ==$0,ID
BIN$BHTQCUoZRsuD+mxLHLNTkw==$0,ID
BIN$CtlCWNYrQLSyD0cFG+8SJw==$0,ID
BIN$DKxKKpeKSFOGFMyEK94x2A==$0,ID
BIN$EOxm5nd+SRek97pejWyTgA==$0,ID
BIN$FhAmTDlcRByijbJD3ynl/g==$0,ID
BIN$HFiHdyMWQ/Om8U1sM4lh1A==$0,ID
BIN$HSRees33SbeGiOxPim1hAg==$0,ID
BIN$IQZb2/RZSTq61ybUIvIPeQ==$0,ID
BIN$IePcl2SVQ8m0st+0AdRzYA==$0,ID
BIN$KuwOoZQqQ+iiz0o4RAD/HQ==$0,ID
BIN$L5Dgm3SxSEWS5Nx7J5B3wg==$0,ID
BIN$LlOcir/CSzqkA359MXdQ4A==$0,ID
BIN$MjhdphroQ8Oi82kdL/KcMQ==$0,ID
BIN$N/D/LKjwSp6WbP6r8zj55Q==$0,ID
BIN$NPpWpHm9QrycTRdD0cuQJQ==$0,ID
BIN$NhTtDigcTY+8C9b86CetlA==$0,ID
BIN$NqCHYy4KQSeClWiUbUCG6Q==$0,ID
BIN$OUS6iUEqTheLhSJzFAgmsQ==$0,ID
BIN$PKfzQCBVTtaBr4wZvM5Jng==$0,ID
BIN$TPmOZ8IIRWq9FpFq5lUyzA==$0,ID
BIN$TXQfTz2mQs+5ZIhUnHQ0FQ==$0,ID
BIN$Tq0rxQHeQhCDiev3X8FmYg==$0,ID
BIN$U8yHyDRJR9mqPlR5hkWSNA==$0,ID
BIN$UPQWzLLASc+6XZGzey5idQ==$0,ID
BIN$VL2ACmGzRs2WIJNNaZDlxw==$0,ID
BIN$YQDo1JCRQJe0y7arUQ39zQ==$0,ID
BIN$YqtEBSPGQM6uE5BMGTP7uA==$0,ID
BIN$Ze9GRJnAS0auzrPLR9HyPQ==$0,ID
BIN$amATSPrnTF+RyMQNU4Cqww==$0,ID
BIN$cJutZc/iRaSUo/SqAMdHCA==$0,ID
BIN$cbPyzlnmSpK2apoXwuLxNw==$0,ID
BIN$e5WdGE+uRuOKowQsg0tHuw==$0,ID
BIN$ebhAaBARQSmGB84t3+vUQQ==$0,ID
BIN$fxcV4I9UTsWmnJuvgJG74A==$0,ID
BIN$g3zbAYmuQjeKeedMJvhV2w==$0,ID
BIN$itiFntBTTB+dF73EWQptyw==$0,ID
BIN$jeS/Z7OsRBun3essv6ANTw==$0,ID
BIN$lJomzbh3SjKaydnu0oyf2w==$0,ID
BIN$oZPpU3hUSOiluvX3YNVxgg==$0,ID
BIN$ofF/WhxmQcS2+Xo9HjDIOg==$0,ID
BIN$tkvdCty1S0OELKvaj4o+1g==$0,ID
BIN$vewf+sNXSVyPsgE+CGDtzQ==$0,ID
BIN$zel7W1HwQ5KQhWyPArNkcQ==$0,ID
C_BILLPAYMENTTEMP,ID
G_BILLPAYMENTTEMP,ID
IIQE_MAXSEAT_QUEUE,ID
IIQE_PERSONAL_QUEUE,ID
IIQE_T_BILL_PAYMENT,ID
IIQE_T_C_EXAM_EXAMINER,ID
IIQE_T_C_EXAM_EXAMINER_ROOM,ID
IIQE_T_C_EXAM_REQ,ID
IIQE_T_C_EXAM_REQ_APPROVER,ID
IIQE_T_C_EXAM_REQ_ATCH,ID
IIQE_T_C_EXAM_REQ_ATCH_DT,ID
IIQE_T_C_EXAM_REQ_ATTACHMENT,ID
IIQE_T_C_EXAM_REQ_ATTENDEE,ID
IIQE_T_C_EXAM_REQ_DT,ID
IIQE_T_C_EXAM_REQ_FLOW,ID
IIQE_T_C_EXAM_REQ_LICENSE_TYPE,ID
IIQE_T_C_EXAM_REQ_ROOM,ID
IIQE_T_C_EXAM_REQ_ROUND,ID
IIQE_T_C_EXAM_REQ_VERSION,ID
IIQE_T_C_G_EXAM_LOCATION_ATCH_DT,ID
IIQE_T_C_RECEIPT_QUEUE,ID
IIQE_T_C_SUBMIT_REPORT,ID
IIQE_T_C_SUBMIT_REPORT_DT,ID
IIQE_T_EXAM_RESULT,ID
IIQE_T_EXAM_RESULT_GROUP,ID
IIQE_T_G_EXAM_REQ,ID
IIQE_T_G_EXAM_REQ_ATCH,ID
IIQE_T_G_EXAM_REQ_ATCH_DT,ID
IIQE_T_G_EXAM_REQ_ATTACHMENT,ID
IIQE_T_G_EXAM_REQ_ATTENDEE,ID
IIQE_T_G_EXAM_REQ_DT,ID
IIQE_T_G_EXAM_REQ_FLOW,ID
IIQE_T_G_EXAM_REQ_LICENSE_TYPE,ID
IIQE_T_G_EXAM_REQ_ROUND,ID
IIQE_T_G_EXAM_REQ_VERSION,ID
IIQE_T_G_RECEIPT_QUEUE,ID
IIQE_T_PAYMENT_HEADER,ID
IIQE_T_P_EXAM_REQ,ID
IIQE_T_P_EXAM_REQ_FLOW,ID
IIQE_T_P_EXAM_ROUND_LIST,ID
IIQE_USERS_QUEUE,ID
LOG_OTP,ID
LOG_T_ALERT_LOG,ID
LOG_T_ALERT_LOG_DT,ID
TEMP_EXAM_RESULT,ID
TEMP_EXAM_ROUND,ID
TEMP_MT_PERSONAL_MEMBER,ID
TEMP_PERSONAL_MEMBER,ID
TEMP_T_C_EXAM_REQ_ATTENDEE,ID
TEMP_USER,ID
